DPS,Dividends per Basic Common Share,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,Aggregate dividends declared during the period for each split-adjusted share of common stock outstanding.
EBIT,Earning Before Interest & Taxes (EBIT),"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,Earnings Before Interest and Tax is calculated by adding [TAXEXP] and [INTEXP] back to [NETINC].
EPS,Earnings per Basic Share,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,The amount of [NETINC] for the period per each [SHARESWA].
EPSDIL,Earnings per Diluted Share,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,The amount of [NETINC] for the period per each [SHARESWADIL].
INTEXP,Interest Expense,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,Amount of the cost of borrowed funds accounted for as interest expense.
NETINC,Net Income,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,"The portion of profit or loss for the period, net of income taxes, which is attributable to the parent. Typically differs from net income to common stockholders due to the deduction of prefererred share dividends."
NETINCCMN,Net Income Common Stock,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,The amount of net income (loss) for the period per each share of common stock or unit outstanding during the reporting period. Typically differs from [NETINC] to the parent entity due to the deduction of [PREFDIVIS].
NETINCDIS,Net Income from Discontinued Operations,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,"Amount of income (loss) from a disposal group, net of income tax, reported as a separate component of income."
PREFDIVIS,Preferred Dividends Income Statement Impact,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,Income statement item reflecting dividend payments to preferred stockholders. Subtracted from Net Income to Parent [NETINC] to obtain Net Income to Common Stockholders [NETINCCMN].
REVENUE,Revenues,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,"Amount of Revenue recognized from goods sold, services rendered, insurance premiums, or other activities that constitute an earning process. Includes, but is not limited to, investment and interest income. May include trading gain (loss)."
SHARESWA,Weighted Average Shares,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,"The average number of shares or units issued and outstanding that are used in calculating [EPS], determined based on the timing of issuance of shares or units in the period."
SHARESWADIL,Weighted Average Shares Diluted,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,"The average number of shares or units issued and outstanding that are used in calculating [EPSDIL], determined based on the timing of issuance of shares or units in the period."
TAXEXP,Income Tax Expense,"ARY,ARQ,ART,MRY,MRQ,MRT",Income Statement,Amount of current income tax expense (benefit) and deferred income tax expense (benefit) pertaining to continuing operations.
